,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
34,34,1/4/11,,POR,W,84,81,,33,77,0.429,8,22,0.364,25,55,0.455,0.481,10,13,0.769,12,34,46,22,3,2,14,16,33,79,0.418,4,16,0.25,29,63,0.46,0.443,11,17,0.647,14,32,46,17,5,3,9,17
35,35,1/6/11,,OKC,L,95,99,,37,79,0.468,6,20,0.3,31,59,0.525,0.506,15,20,0.75,12,35,47,18,4,2,15,17,39,83,0.47,4,15,0.267,35,68,0.515,0.494,17,26,0.654,16,29,45,23,13,1,10,18
36,36,1/8/11,,ORL,L,107,117,,41,76,0.539,12,26,0.462,29,50,0.58,0.618,13,17,0.765,6,28,34,29,8,4,17,20,42,81,0.519,14,32,0.438,28,49,0.571,0.605,19,26,0.731,10,28,38,27,10,5,14,17
37,37,1/12/11,@,IND,L,89,102,,33,80,0.413,9,22,0.409,24,58,0.414,0.469,14,19,0.737,11,30,41,21,4,9,12,17,37,83,0.446,8,24,0.333,29,59,0.492,0.494,20,22,0.909,12,34,46,19,8,2,8,18
38,38,1/14/11,@,SAS,L,89,101,,36,83,0.434,6,13,0.462,30,70,0.429,0.47,11,18,0.611,8,31,39,17,5,4,8,24,36,80,0.45,6,16,0.375,30,64,0.469,0.488,23,29,0.793,14,38,52,21,4,3,12,16
39,39,1/15/11,@,MEM,L,70,89,,24,74,0.324,6,31,0.194,18,43,0.419,0.365,16,23,0.696,9,29,38,13,7,3,14,18,36,76,0.474,3,12,0.25,33,64,0.516,0.493,14,15,0.933,7,35,42,20,8,7,13,21
40,40,1/17/11,@,DET,L,89,103,,34,73,0.466,9,25,0.36,25,48,0.521,0.527,12,17,0.706,10,21,31,28,3,2,16,20,42,73,0.575,4,12,0.333,38,61,0.623,0.603,15,19,0.789,9,24,33,24,6,2,11,16
41,41,1/19/11,,LAL,W,109,100,,44,80,0.55,12,26,0.462,32,54,0.593,0.625,9,13,0.692,7,28,35,27,4,2,8,11,44,81,0.543,6,16,0.375,38,65,0.585,0.58,6,7,0.857,8,27,35,20,3,4,10,12
42,42,1/20/11,@,CHI,L,77,82,,26,73,0.356,7,22,0.318,19,51,0.373,0.404,18,22,0.818,9,32,41,16,5,9,15,17,31,84,0.369,7,16,0.438,24,68,0.353,0.411,13,16,0.813,17,34,51,15,8,7,14,22
43,43,1/22/11,@,NJN,W,87,86,,26,75,0.347,8,21,0.381,18,54,0.333,0.4,27,29,0.931,11,28,39,18,11,0,14,24,32,72,0.444,5,15,0.333,27,57,0.474,0.479,17,21,0.81,6,33,39,23,4,5,17,25
44,44,1/25/11,,LAC,W,112,105,,37,74,0.5,10,24,0.417,27,50,0.54,0.568,28,30,0.933,11,19,30,18,5,4,14,24,39,70,0.557,10,20,0.5,29,50,0.58,0.629,17,28,0.607,11,23,34,22,6,2,23,22
45,45,1/27/11,,HOU,W,111,106,,41,82,0.5,6,16,0.375,35,66,0.53,0.537,23,25,0.92,7,33,40,25,6,4,9,24,39,84,0.464,8,22,0.364,31,62,0.5,0.512,20,25,0.8,11,31,42,16,6,4,14,21
46,46,1/29/11,,ATL,W,102,91,,36,73,0.493,8,21,0.381,28,52,0.538,0.548,22,27,0.815,8,33,41,28,6,4,13,17,35,76,0.461,4,20,0.2,31,56,0.554,0.487,17,22,0.773,9,29,38,20,8,2,12,22
47,47,1/31/11,,WAS,W,102,92,,34,71,0.479,9,22,0.409,25,49,0.51,0.542,25,37,0.676,13,37,50,27,2,4,14,21,34,86,0.395,5,14,0.357,29,72,0.403,0.424,19,31,0.613,14,31,45,18,7,6,7,30
48,48,2/2/11,@,NYK,W,113,97,,42,84,0.5,11,25,0.44,31,59,0.525,0.565,18,21,0.857,10,44,54,24,3,4,16,18,37,88,0.42,6,23,0.261,31,65,0.477,0.455,17,20,0.85,5,29,34,20,12,6,8,14
49,49,2/4/11,@,BOS,W,101,97,,39,79,0.494,8,17,0.471,31,62,0.5,0.544,15,17,0.882,10,23,33,22,5,3,15,16,40,79,0.506,6,17,0.353,34,62,0.548,0.544,11,16,0.688,10,24,34,21,7,6,15,18
50,50,2/5/11,@,CHA,W,101,92,,40,86,0.465,7,22,0.318,33,64,0.516,0.506,14,17,0.824,14,30,44,20,3,14,10,20,33,89,0.371,5,21,0.238,28,68,0.412,0.399,21,24,0.875,15,25,40,16,6,8,9,17
51,51,2/7/11,,CLE,W,99,96,,34,83,0.41,7,22,0.318,27,61,0.443,0.452,24,27,0.889,16,35,51,21,6,3,16,18,40,91,0.44,3,14,0.214,37,77,0.481,0.456,13,17,0.765,12,31,43,18,9,5,11,20
52,52,2/9/11,@,SAC,W,102,100,,38,81,0.469,9,25,0.36,29,56,0.518,0.525,17,22,0.773,9,30,39,22,2,5,12,21,39,83,0.47,3,13,0.231,36,70,0.514,0.488,19,23,0.826,12,36,48,19,7,1,11,23
53,53,2/10/11,@,DEN,L,120,121,,45,84,0.536,11,25,0.44,34,59,0.576,0.601,19,25,0.76,11,28,39,21,8,3,11,18,44,84,0.524,15,31,0.484,29,53,0.547,0.613,18,24,0.75,10,26,36,25,8,5,12,25
54,54,2/12/11,@,HOU,W,106,102,,43,78,0.551,8,15,0.533,35,63,0.556,0.603,12,15,0.8,9,33,42,26,6,4,15,13,39,96,0.406,11,29,0.379,28,67,0.418,0.464,13,17,0.765,16,22,38,21,10,2,7,22
55,55,2/16/11,,SAC,W,116,100,,50,90,0.556,13,26,0.5,37,64,0.578,0.628,3,6,0.5,10,25,35,34,11,0,21,26,35,71,0.493,4,8,0.5,31,63,0.492,0.521,26,34,0.765,12,28,40,24,15,4,26,14
56,56,2/17/11,@,PHO,W,112,106,,43,82,0.524,10,27,0.37,33,55,0.6,0.585,16,23,0.696,5,34,39,26,8,4,12,20,42,83,0.506,5,19,0.263,37,64,0.578,0.536,17,22,0.773,9,34,43,24,5,4,13,22
57,57,2/23/11,,UTA,W,118,99,,44,76,0.579,10,20,0.5,34,56,0.607,0.645,20,28,0.714,11,32,43,30,7,2,19,25,35,77,0.455,4,16,0.25,31,61,0.508,0.481,25,31,0.806,10,23,33,18,14,1,20,22
58,58,2/26/11,@,WAS,W,105,99,,39,81,0.481,6,17,0.353,33,64,0.516,0.519,21,31,0.677,8,43,51,28,4,3,13,15,44,95,0.463,5,14,0.357,39,81,0.481,0.489,6,16,0.375,11,37,48,17,7,3,10,22
59,59,2/27/11,@,TOR,W,114,96,,45,93,0.484,8,24,0.333,37,69,0.536,0.527,16,22,0.727,11,29,40,28,4,3,6,11,41,84,0.488,5,14,0.357,36,70,0.514,0.518,9,12,0.75,10,29,39,28,6,8,13,22
60,60,3/1/11,@,PHI,W,101,93,,41,77,0.532,6,18,0.333,35,59,0.593,0.571,13,24,0.542,5,38,43,26,5,2,15,16,36,81,0.444,7,19,0.368,29,62,0.468,0.488,14,24,0.583,7,29,36,20,8,0,12,22
61,61,3/4/11,,IND,W,116,108,,41,79,0.519,7,19,0.368,34,60,0.567,0.563,27,34,0.794,14,27,41,28,9,4,16,21,38,78,0.487,9,19,0.474,29,59,0.492,0.545,23,28,0.821,6,25,31,19,11,0,18,23
62,62,3/6/11,,MEM,L,103,104,,37,73,0.507,10,21,0.476,27,52,0.519,0.575,19,23,0.826,8,29,37,21,8,8,15,23,41,87,0.471,3,15,0.2,38,72,0.528,0.489,19,24,0.792,15,27,42,24,10,2,11,21
63,63,3/7/11,@,MIN,W,108,105,,38,84,0.452,12,35,0.343,26,49,0.531,0.524,20,22,0.909,12,32,44,29,11,4,16,19,39,88,0.443,11,23,0.478,28,65,0.431,0.506,16,26,0.615,16,29,45,23,8,4,16,21
64,64,3/9/11,@,NOH,L,92,93,,31,69,0.449,6,21,0.286,25,48,0.521,0.493,24,32,0.75,4,27,31,22,4,5,11,23,34,78,0.436,4,12,0.333,30,66,0.455,0.462,21,29,0.724,9,35,44,13,5,3,9,27
65,65,3/10/11,,NYK,W,127,109,,48,94,0.511,11,24,0.458,37,70,0.529,0.569,20,24,0.833,17,30,47,26,9,5,12,25,34,80,0.425,6,18,0.333,28,62,0.452,0.463,35,37,0.946,11,26,37,19,6,6,12,22
66,66,3/12/11,,LAL,L,91,96,,37,86,0.43,4,16,0.25,33,70,0.471,0.453,13,15,0.867,15,33,48,21,6,9,13,20,37,83,0.446,5,13,0.385,32,70,0.457,0.476,17,27,0.63,12,31,43,20,7,2,9,17
67,67,3/15/11,@,POR,L,101,104,,40,67,0.597,9,21,0.429,31,46,0.674,0.664,12,13,0.923,6,27,33,30,5,4,15,17,40,85,0.471,6,14,0.429,34,71,0.479,0.506,18,23,0.783,15,19,34,19,8,5,7,15
68,68,3/16/11,@,GSW,W,112,106,,40,77,0.519,8,19,0.421,32,58,0.552,0.571,24,27,0.889,10,31,41,28,6,1,14,16,42,82,0.512,9,24,0.375,33,58,0.569,0.567,13,19,0.684,7,24,31,24,12,3,13,18
69,69,3/18/11,,SAS,L,91,97,,36,73,0.493,6,23,0.261,30,50,0.6,0.534,13,17,0.765,7,34,41,20,3,5,19,21,36,83,0.434,7,17,0.412,29,66,0.439,0.476,18,19,0.947,9,27,36,15,14,6,13,22
70,70,3/20/11,,GSW,W,101,73,,34,79,0.43,12,33,0.364,22,46,0.478,0.506,21,25,0.84,11,40,51,24,10,3,16,22,27,77,0.351,5,20,0.25,22,57,0.386,0.383,14,20,0.7,6,33,39,16,7,4,18,19
71,71,3/24/11,,MIN,W,104,96,,42,85,0.494,8,27,0.296,34,58,0.586,0.541,12,15,0.8,10,33,43,31,10,6,16,17,39,80,0.488,8,18,0.444,31,62,0.5,0.538,10,12,0.833,7,31,38,21,5,3,18,19
72,72,3/26/11,@,UTA,W,94,77,,30,66,0.455,8,19,0.421,22,47,0.468,0.515,26,32,0.813,5,35,40,20,9,6,19,26,32,76,0.421,3,12,0.25,29,64,0.453,0.441,10,17,0.588,9,22,31,18,7,5,19,25
